	OR546130.1	OR546129.1	OR546128.1	OR546127.1	OR546126.1	GU980198.1	NC_006273.2	GU937742.2	BK000394.5	KF021605.1
OR546130.1	0.0	0.037153836598452505	0.037766922987533924	0.03767475967414258	0.034617341929899736	0.15759926589917328	0.04011909102930389	0.0833917702168242	0.07820257496283411	0.03500603068637631
OR546129.1	0.037153836598452505	0.0	0.04195033599538378	0.034737554947366744	0.027132078042290897	0.1593463617530264	0.03658883541635782	0.08506273115961482	0.08214556193575018	0.042030478007028416
OR546128.1	0.037766922987533924	0.04195033599538378	0.0	0.03595571352436522	0.037794972691609585	0.16679956883597735	0.027540802301678546	0.08459790749207596	0.0802622246621012	0.036340395180259444
OR546127.1	0.03767475967414258	0.034737554947366744	0.03595571352436522	0.0	0.032597763236455024	0.1636740303818366	0.022972707637934464	0.08389666489018544	0.07918030750489868	0.04410615610862445
OR546126.1	0.034617341929899736	0.027132078042290897	0.037794972691609585	0.032597763236455024	0.0	0.1573388043613283	0.03561911707545773	0.082834783235894	0.07841094419311023	0.038888911150558814
GU980198.1	0.15759926589917328	0.1593463617530264	0.16679956883597735	0.1636740303818366	0.1573388043613283	0.0	0.16649102209114552	0.20504333679279685	0.20463060543282696	0.16668737001967482
NC_006273.2	0.04011909102930389	0.03658883541635782	0.027540802301678546	0.022972707637934464	0.03561911707545773	0.16649102209114552	0.0	0.08112775838786335	0.07663980573576379	0.03571528748943131
GU937742.2	0.0833917702168242	0.08506273115961482	0.08459790749207596	0.08389666489018544	0.082834783235894	0.20504333679279685	0.08112775838786335	0.0	0.09018781280428922	0.08457787198916478
BK000394.5	0.07820257496283411	0.08214556193575018	0.0802622246621012	0.07918030750489868	0.07841094419311023	0.20463060543282696	0.07663980573576379	0.09018781280428922	0.0	0.08068297022323556
KF021605.1	0.03500603068637631	0.042030478007028416	0.036340395180259444	0.04410615610862445	0.038888911150558814	0.16668737001967482	0.03571528748943131	0.08457787198916478	0.08068297022323556	0.0
